,,,,,lineOfAction,lineOfAction
,,,,,mean,std
region,condition,position,load,plane,,
ss3,split25_upper,ABER,0N,SP,138.91983751946975,14.926069755641276
ss3,split25_upper,ABER,0N,TP,174.06888983959146,31.33688155308495
ss3,split25_upper,ABER,20N,SP,133.98619786321035,18.528808606386107
ss3,split25_upper,ABER,20N,TP,173.23524250163996,33.5364254131661
ss3,split25_upper,ABER,40N,SP,134.21777585659422,17.44542737066142
ss3,split25_upper,ABER,40N,TP,180.78018600222927,21.6704475209438
ss3,split25_upper,APP,0N,SP,137.66043895174263,19.450020978573747
ss3,split25_upper,APP,0N,TP,173.82665887565662,18.482161891728115
ss3,split25_upper,APP,20N,SP,136.00973351483347,19.86285533307639
ss3,split25_upper,APP,20N,TP,175.48517982140973,18.882282455117014
ss3,split25_upper,APP,40N,SP,136.20785058511404,19.138790393704884
ss3,split25_upper,APP,40N,TP,171.96361143114817,21.509317442080587
ss3,split25_upper,abd0,0N,SP,158.8779686453247,14.315815328759143
ss3,split25_upper,abd0,0N,TP,178.86707893647372,13.973148871805675
ss3,split25_upper,abd0,20N,SP,154.60493955591295,13.11279167070026
ss3,split25_upper,abd0,20N,TP,183.20349811351207,16.278268341450598
ss3,split25_upper,abd0,40N,SP,154.34091703701014,17.191990120874774
ss3,split25_upper,abd0,40N,TP,184.64899533701012,19.733521929445665
ss3,split25_upper,abd90,0N,SP,161.5816281181232,9.510642736576491
ss3,split25_upper,abd90,0N,TP,181.12005733591766,16.028528137888504
ss3,split25_upper,abd90,20N,SP,155.86709287063442,13.740516379769339
ss3,split25_upper,abd90,20N,TP,185.20824809826783,17.158791675650022
ss3,split25_upper,abd90,40N,SP,151.5660803191306,20.142193916360913
ss3,split25_upper,abd90,40N,TP,184.93662365366146,16.8670052765959
ss3,split50,ABER,0N,SP,139.20474466543138,16.033866719256746
ss3,split50,ABER,0N,TP,176.05976661737915,19.108122526495844
ss3,split50,ABER,20N,SP,132.4622751260479,13.869596134221487
ss3,split50,ABER,20N,TP,181.52082019473494,23.349180915199376
ss3,split50,ABER,40N,SP,129.20444526937385,14.56215812549808
ss3,split50,ABER,40N,TP,184.7428079143645,29.54294043332182
ss3,split50,APP,0N,SP,138.80804620140663,14.845655258120727
ss3,split50,APP,0N,TP,172.55776059977285,19.90544038750161
ss3,split50,APP,20N,SP,136.7866528567782,16.367850329264375
ss3,split50,APP,20N,TP,170.86986638515052,26.68726983499477
ss3,split50,APP,40N,SP,132.96363673458836,12.933634817362234
ss3,split50,APP,40N,TP,176.3150156822982,25.582250122906455
ss3,split50,abd0,0N,SP,160.89401699050717,7.553509534179255
ss3,split50,abd0,0N,TP,181.68961041742475,14.465884266744073
ss3,split50,abd0,20N,SP,159.73476086784302,16.213667247361755
ss3,split50,abd0,20N,TP,185.4313779168807,24.08279380951166
ss3,split50,abd0,40N,SP,158.4542228282819,19.77620468886383
ss3,split50,abd0,40N,TP,186.0027293844226,26.31423009821295
ss3,split50,abd90,0N,SP,152.72709554493932,22.426312168988858
ss3,split50,abd90,0N,TP,180.90418788242135,16.14030406586972
ss3,split50,abd90,20N,SP,151.2257282416283,24.573527127614774
ss3,split50,abd90,20N,TP,184.94996903348982,18.097735744105023
ss3,split50,abd90,40N,SP,150.28526184280793,24.60987709186034
ss3,split50,abd90,40N,TP,186.80860872696815,24.768951001954242
ss4,split25_lower,ABER,0N,SP,133.953974202761,15.042665989784581
ss4,split25_lower,ABER,0N,TP,177.38416847169026,19.103577273253915
ss4,split25_lower,ABER,20N,SP,128.11902800620032,14.998331390708913
ss4,split25_lower,ABER,20N,TP,183.85192524929118,29.51630032000724
ss4,split25_lower,ABER,40N,SP,124.45629842039823,16.39047177324105
ss4,split25_lower,ABER,40N,TP,195.19899280319532,32.25333273434799
ss4,split25_lower,APP,0N,SP,136.3883958120885,16.495946994579867
ss4,split25_lower,APP,0N,TP,190.85449658618592,23.6070580638885
ss4,split25_lower,APP,20N,SP,129.25835463112426,16.88211428043669
ss4,split25_lower,APP,20N,TP,191.66693121926426,29.7593927848414
ss4,split25_lower,APP,40N,SP,126.4562132744778,17.400323984214726
ss4,split25_lower,APP,40N,TP,195.45446709110016,33.74250768892831
ss4,split25_lower,abd0,0N,SP,146.1370751738787,16.738213447606224
ss4,split25_lower,abd0,0N,TP,186.5733052381769,19.960492272391157
ss4,split25_lower,abd0,20N,SP,145.64856469915566,14.286173602736705
ss4,split25_lower,abd0,20N,TP,192.3316469148969,22.73117216990613
ss4,split25_lower,abd0,40N,SP,144.63065621160837,15.080121294826153
ss4,split25_lower,abd0,40N,TP,189.73084186854138,23.705338528773723
ss4,split25_lower,abd90,0N,SP,148.071161413568,11.259325313300268
ss4,split25_lower,abd90,0N,TP,183.12669441330019,17.73058930827136
ss4,split25_lower,abd90,20N,SP,144.27686815203595,13.6464507172069
ss4,split25_lower,abd90,20N,TP,190.05244992924537,23.595751903454808
ss4,split25_lower,abd90,40N,SP,140.0695796599238,17.23753593133908
ss4,split25_lower,abd90,40N,TP,189.94599460102026,26.450424373212904
ss4,split25_upper,ABER,0N,SP,136.67227176107858,12.274724890970823
ss4,split25_upper,ABER,0N,TP,176.83446262152717,26.87417582465031
ss4,split25_upper,ABER,20N,SP,133.38723837972674,14.36712523174298
ss4,split25_upper,ABER,20N,TP,176.90874067604096,26.920347188862674
ss4,split25_upper,ABER,40N,SP,133.79880012745747,17.08817815953288
ss4,split25_upper,ABER,40N,TP,184.59155149211605,14.645939087385916
ss4,split25_upper,APP,0N,SP,140.43821724413618,13.743789688392889
ss4,split25_upper,APP,0N,TP,180.68107076015514,25.465330186417216
ss4,split25_upper,APP,20N,SP,140.33740399913262,14.733413246220147
ss4,split25_upper,APP,20N,TP,175.51819501941125,21.08120475402188
ss4,split25_upper,APP,40N,SP,141.71935584374145,16.018058376349515
ss4,split25_upper,APP,40N,TP,175.06685837497076,23.677009067674984
