specimen,condition,region,position,load,plane,lineOfAction,momentArm,stabilityRatio
S1,split50,ss2,ABER,40N,SP,140.2454290045168,24.012059026540918,-0.8319350140206296
S1,split50,ss3,ABER,40N,SP,120.08968994002984,13.18113599657974,-1.725804891047918
S1,split50,ss4,ABER,40N,SP,115.89666019051008,6.653591403158011,-2.059710144933833
S1,split50,ss1,ABER,40N,TP,193.9563527247544,23.954222062928768,-0.2485190115046096
S1,split50,ss2,ABER,40N,TP,176.0286691255708,17.70265473660715,0.0694240121673394
S1,split50,ss3,ABER,40N,TP,170.31744200991105,21.282537938365788,0.170619831539278
S1,split50,ss4,ABER,40N,TP,207.3604728151795,31.115100221576025,-0.5174755465070577
S1,split50,ss1,APP,0N,SP,154.7558893461245,20.655127019990022,-0.4715784840512408
S1,split50,ss2,APP,0N,SP,146.065895079599,21.99105026267387,-0.6728460130714372
S1,split50,ss3,APP,0N,SP,123.69679109136538,10.149391008835147,-1.4996175268615335
S1,split50,ss4,APP,0N,SP,130.11918691740695,4.467611322133962,-1.1867288413644412
S1,split50,ss1,APP,0N,TP,194.3957352212456,31.053224388939515,-0.2566770204500931
S1,split50,ss2,APP,0N,TP,186.4502597979786,28.49174149247,-0.1130562952791122
S1,split50,ss3,APP,0N,TP,158.8700009877366,21.84509496871429,0.3864702680852817
S1,split50,ss4,APP,0N,TP,193.0034279356823,31.372840745075308,-0.230930012374674
S1,split50,ss1,APP,20N,SP,156.4545870207061,19.829795725811568,-0.4357748795733039
S1,split50,ss2,APP,20N,SP,145.23196227044934,22.12633239130292,-0.6941913344292229
S1,split50,ss3,APP,20N,SP,121.3816601289602,9.76614414595706,-1.6394413023676546
S1,split50,ss4,APP,20N,SP,123.700890161584,3.8809351296793744,-1.499384718846383
S1,split50,ss1,APP,20N,TP,186.2226258796566,28.547351668688343,-0.1090343379860367
S1,split50,ss2,APP,20N,TP,188.10655590190996,27.775722334541552,-0.1424378173304161
S1,split50,ss3,APP,20N,TP,164.7446613857689,23.32840669787929,0.2727313963896349
S1,split50,ss4,APP,20N,TP,194.86750862386376,31.046996057986984,-0.2654722883615494
S1,split50,ss1,APP,40N,SP,157.0257717233811,20.01601463696913,-0.4239514315784262
S1,split50,ss2,APP,40N,SP,145.7280497936342,22.27063405666895,-0.6814552011885459
S1,split50,ss3,APP,40N,SP,120.02606103468617,9.234929707364545,-1.7302309039847896
S1,split50,ss4,APP,40N,SP,125.3561720189564,3.019874358272642,-1.4094178184847483
S1,split50,ss1,APP,40N,TP,192.60368097809703,29.48067996953673,-0.2235939390057051
S1,split50,ss2,APP,40N,TP,176.54041911652672,23.453379261275533,0.0604545649376982
S1,split50,ss3,APP,40N,TP,163.30512040558614,22.804470187689464,0.2999169686062208
S1,split50,ss4,APP,40N,TP,194.3050007172053,30.589725543093557,-0.2549897555252332
S2,split50,ss1,abd0,0N,SP,167.78864850012616,15.5280069353125,-0.216403909926126
S2,split50,ss2,abd0,0N,SP,156.2204276357944,12.944399766824873,-0.4406084152011418
