,,,,,stabilityRatio,stabilityRatio
,,,,,mean,std
region,condition,position,load,plane,,
ss2,split50,abd90,20N,TP,-0.1368328812657717,0.3395724183406061
ss2,split50,abd90,40N,SP,-0.19630983889737288,0.32340807275936007
ss2,split50,abd90,40N,TP,-0.11810119328753299,0.3785002569056828
ss3,split25_lower,ABER,0N,SP,-0.7202582371293657,0.19929028094964404
ss3,split25_lower,ABER,0N,TP,0.06209470708284108,0.26879347793878217
ss3,split25_lower,ABER,20N,SP,-0.7849136389929519,0.20204871669556
ss3,split25_lower,ABER,20N,TP,0.03047628838939384,0.3479592466294636
ss3,split25_lower,ABER,40N,SP,-0.7139187415953737,0.2538442456187411
ss3,split25_lower,ABER,40N,TP,-0.049323212178080375,0.36254704857597625
ss3,split25_lower,APP,0N,SP,-0.7804738722499347,0.33485337115457253
ss3,split25_lower,APP,0N,TP,-0.058902437013585315,0.37199362683835235
ss3,split25_lower,APP,20N,SP,-0.715195032539816,0.3068590908556059
ss3,split25_lower,APP,20N,TP,-0.2191505597105642,0.34763755494765713
ss3,split25_lower,APP,40N,SP,-0.7308597149719012,0.2989242351500122
ss3,split25_lower,APP,40N,TP,-0.12186946163579343,0.41786970450958894
ss3,split25_lower,abd0,0N,SP,-0.43487865426323136,0.26716619164406546
ss3,split25_lower,abd0,0N,TP,-0.09380301824084315,0.28941973491891165
ss3,split25_lower,abd0,20N,SP,-0.4186242522990622,0.19116161565283038
ss3,split25_lower,abd0,20N,TP,-0.1832997644108687,0.28494597153384077
ss3,split25_lower,abd0,40N,SP,-0.4295802719405961,0.23791834846720128
ss3,split25_lower,abd0,40N,TP,-0.10926133419414613,0.3346865241078623
ss3,split25_lower,abd90,0N,SP,-0.15852841270399376,0.9990623473539999
ss3,split25_lower,abd90,0N,TP,-0.10333425991122624,0.35859234254027594
ss3,split25_lower,abd90,20N,SP,-0.45313471200293215,0.2819675312137061
ss3,split25_lower,abd90,20N,TP,-0.14795888930252482,0.32888009019873676
ss3,split25_lower,abd90,40N,SP,-0.4966429179766979,0.2815977598029827
ss3,split25_lower,abd90,40N,TP,-0.1258510081231512,0.35270356486409893
ss3,split25_upper,ABER,0N,SP,-0.9740754658004283,0.5057716091927094
ss3,split25_upper,ABER,0N,TP,0.23042757345129608,0.8688478322182424
ss3,split25_upper,ABER,20N,SP,-1.3035808124693815,0.8970052175235672
ss3,split25_upper,ABER,20N,TP,0.3509670192275438,1.19718700821939
ss3,split25_upper,ABER,40N,SP,-1.209688562628886,0.6790129135485453
ss3,split25_upper,ABER,40N,TP,-0.02895658464808418,0.4189525172489623
ss3,split25_upper,APP,0N,SP,-1.1040910722273272,0.7014315092325626
ss3,split25_upper,APP,0N,TP,0.12011937154340457,0.3432132535841189
ss3,split25_upper,APP,20N,SP,-1.2015322446135257,0.8023412484079904
ss3,split25_upper,APP,20N,TP,0.08451339249907115,0.3473714839592958
ss3,split25_upper,APP,40N,SP,-1.1771528115957453,0.7681165898434781
ss3,split25_upper,APP,40N,TP,0.1665903505220138,0.42470421243003154
ss3,split25_upper,abd0,0N,SP,-0.43582939668535126,0.4099103220577572
ss3,split25_upper,abd0,0N,TP,-0.012065657533079754,0.25124533841411106
ss3,split25_upper,abd0,20N,SP,-0.5131512533877562,0.3441917500904243
ss3,split25_upper,abd0,20N,TP,-0.12168710511338773,0.27412469380018534
ss3,split25_upper,abd0,40N,SP,-0.5537474558407285,0.486580692370637
ss3,split25_upper,abd0,40N,TP,-0.13519053770569422,0.37185281326235853
ss3,split25_upper,abd90,0N,SP,-0.34196682908049614,0.18702383239140918
ss3,split25_upper,abd90,0N,TP,-0.020628419911809998,0.28965387951238986
ss3,split25_upper,abd90,20N,SP,-0.4858469965856177,0.346439459424397
ss3,split25_upper,abd90,20N,TP,-0.0969324339312028,0.3137085283813794
ss3,split25_upper,abd90,40N,SP,-0.7016509467231339,0.7728063180235237
ss3,split25_upper,abd90,40N,TP,-0.09623575339595296,0.318569162010553
ss3,split50,ABER,0N,SP,-0.9811144433802328,0.5617891278973073
ss3,split50,ABER,0N,TP,0.07599944978930152,0.3609207233180525
ss3,split50,ABER,20N,SP,-1.2322975592495213,0.6139375138570021
ss3,split50,ABER,20N,TP,-0.057513460977112914,0.5001041619721615
ss3,split50,ABER,40N,SP,-1.4284450624447544,0.7721125820617317
ss3,split50,ABER,40N,TP,-0.22633588674894017,0.9099008248782977
ss3,split50,APP,0N,SP,-0.9766382755354108,0.5133471312718011
ss3,split50,APP,0N,TP,0.14670480779523198,0.39816724708710416
ss3,split50,APP,20N,SP,-1.1064389473783673,0.705339546119011
ss3,split50,APP,20N,TP,0.17509306640744218,0.5709321593097676
ss3,split50,APP,40N,SP,-1.2208639488283521,0.6784385334930604
ss3,split50,APP,40N,TP,0.05196078692770335,0.5526856463729799
ss3,split50,abd0,0N,SP,-0.3526078538417734,0.1507962713592105
ss3,split50,abd0,0N,TP,-0.030259263276271306,0.25846873011678567
ss3,split50,abd0,20N,SP,-0.4316383045241919,0.46911090213317186
ss3,split50,abd0,20N,TP,-0.16591032401816644,0.6102245486258969
ss3,split50,abd0,40N,SP,-0.5324074592961723,0.7440700367695374
ss3,split50,abd0,40N,TP,-0.22076102160021377,0.7755681570559063
ss3,split50,abd90,0N,SP,-0.6162255907574551,0.5604470809768556
ss3,split50,abd90,0N,TP,-0.017816298244400536,0.2901525401301957
ss3,split50,abd90,20N,SP,-0.7131700995059109,0.7455964587324926
ss3,split50,abd90,20N,TP,-0.09940547870962778,0.3425433628227766
ss3,split50,abd90,40N,SP,-0.7513037593579697,0.7913589176743777
ss3,split50,abd90,40N,TP,-0.16255048558366753,0.5215095137494897
ss4,split25_lower,ABER,0N,SP,-1.2391950316233462,0.8100522493265514
ss4,split25_lower,ABER,0N,TP,0.04729910790127781,0.3519219898429509
ss4,split25_lower,ABER,20N,SP,-1.4909326340343714,0.7475503850771481
ss4,split25_lower,ABER,20N,TP,-0.11535340371373223,0.61552929459569
ss4,split25_lower,ABER,40N,SP,-1.8209485991037726,1.03925952240034
ss4,split25_lower,ABER,40N,TP,-0.37439059966429183,0.7215656008216164
ss4,split25_lower,APP,0N,SP,-1.1655548399358335,0.8429182976644253
ss4,split25_lower,APP,0N,TP,-0.21853558540935553,0.457589296826678
ss4,split25_lower,APP,20N,SP,-1.556861201535341,1.0567381321775635
ss4,split25_lower,APP,20N,TP,-0.2583850729135923,0.6033708529424326
ss4,split25_lower,APP,40N,SP,-1.8588585077458561,1.4288854265823954
ss4,split25_lower,APP,40N,TP,-0.3403920255119196,0.7221450004853064
ss4,split25_lower,abd0,0N,SP,-0.7648894095347711,0.519355897835135
ss4,split25_lower,abd0,0N,TP,-0.1301198431685328,0.38432132579158595
ss4,split25_lower,abd0,20N,SP,-0.7685190033308379,0.5109922417261654
ss4,split25_lower,abd0,20N,TP,-0.2658569776512749,0.48140556522960354
ss4,split25_lower,abd0,40N,SP,-0.8084098987176009,0.5479331538836559
ss4,split25_lower,abd0,40N,TP,-0.22028673423869202,0.5264841252790635
ss4,split25_lower,abd90,0N,SP,-0.6583846215492479,0.31055742981859136
ss4,split25_lower,abd90,0N,TP,-0.05588915662468946,0.3247128405744547
ss4,split25_lower,abd90,20N,SP,-0.7854104894313116,0.4226630869291939
ss4,split25_lower,abd90,20N,TP,-0.2239241717625107,0.503909485431614
ss4,split25_lower,abd90,40N,SP,-0.977705051213698,0.6173208106348274
ss4,split25_lower,abd90,40N,TP,-0.25177365660434015,0.6270956873659262
ss4,split25_upper,ABER,0N,SP,-1.0466862290670713,0.5476461052805243
ss4,split25_upper,ABER,0N,TP,0.08229122794754874,0.5868819152325839
